0	11.3	38	35.6	53.2	52.8	45.3	49.2	45.5	47.8	36.2	40.7	40.4	48.9	44.6	51.4
11.3	0	40.7	34.8	56.3	54.1	53.2	47.2	53.1	46.7	44.9	38.2	51.1	42.2	54.6	46.3
38	40.7	0	12.5	21.7	24.7	36.8	43.5	41.5	46.3	40.3	47.4	52	60.6	57.1	64.6
35.6	34.8	12.5	0	27.8	25.7	43.9	37.6	47.1	41.3	45.3	40.9	58.1	51.1	62.4	56.3
53.2	56.3	21.7	27.8	0	10.7	31.1	38.4	35.6	41.3	40.5	47.5	55.8	63.8	58.6	65.8
52.8	54.1	24.7	25.7	10.7	0	36.2	29.6	39.1	33.8	43.6	40.4	60.5	55.5	62.4	58
45.3	53.2	36.8	43.9	31.1	36.2	0	44.7	6.93	42.5	13.6	46.2	27.9	65.5	28.8	64
49.2	47.2	43.5	37.6	38.4	29.6	44.7	0	42.9	7.12	45	14.9	62.7	29.1	61.7	29.6
45.5	53.1	41.5	47.1	35.6	39.1	6.93	42.9	0	39.6	11.2	43.2	26.9	62.6	25.8	60.2
47.8	46.7	46.3	41.3	41.3	33.8	42.5	7.12	39.6	0	41.5	11.4	58.7	28.4	57	26.9
36.2	44.9	40.3	45.3	40.5	43.6	13.6	45	11.2	41.5	0	42	18.5	60.1	18.9	58.1
40.7	38.2	47.4	40.9	47.5	40.4	46.2	14.9	43.2	11.4	42	0	57.5	19.8	56.1	18.9
40.4	51.1	52	58.1	55.8	60.5	27.9	62.7	26.9	58.7	18.5	57.5	0	73.7	8.79	71.5
48.9	42.2	60.6	51.1	63.8	55.5	65.5	29.1	62.6	28.4	60.1	19.8	73.7	0	72.5	9.54
44.6	54.6	57.1	62.4	58.6	62.4	28.8	61.7	25.8	57	18.9	56.1	8.79	72.5	0	69.2
51.4	46.3	64.6	56.3	65.8	58	64	29.6	60.2	26.9	58.1	18.9	71.5	9.54	69.2	0
